"schema","table","columns"
"seguridad","permiso","id_permiso,codigo,modulo,accion,nombre,descripcion,es_sensible,activo,creado_utc,actualizado_utc,version_fila"
"seguridad","politica_empresa_override","id_empresa,timeout_inactividad_min_override,timeout_absoluto_min_override,mfa_obligatorio_override,max_intentos_login_override,minutos_bloqueo_override,requiere_politica_ip_override,requiere_mfa_aprobaciones_override,creado_utc,actualizado_utc,version_fila"
"seguridad","politica_ip","id_politica_ip,id_tenant,id_empresa,ip_o_cidr,accion,prioridad,activo,creado_utc,actualizado_utc"
"seguridad","politica_operacion_api","id_politica_operacion_api,id_operacion_api,id_permiso,requiere_autenticacion,requiere_sesion,requiere_empresa,requiere_unidad_organizativa,requiere_mfa,requiere_auditoria,requiere_aprobacion,codigo_entidad,activo,creado_utc,actualizado_utc"
"seguridad","politica_tenant","id_tenant,timeout_inactividad_min,timeout_absoluto_min,longitud_minima_clave,requiere_mayuscula,requiere_minuscula,requiere_numero,requiere_especial,historial_claves,max_intentos_login,minutos_bloqueo,mfa_obligatorio,permite_login_local,permite_sso,requiere_mfa_aprobaciones,requiere_politica_ip,limite_rate_por_minuto,creado_utc,actualizado_utc,version_fila"
"seguridad","privilegio","id_privilegio,id_tenant,codigo,nombre,descripcion,es_sistema,activo,creado_utc,actualizado_utc,version_fila"
"seguridad","privilegio_permiso","id_privilegio,id_permiso,activo,creado_utc,actualizado_utc"
"seguridad","recurso_ui","id_recurso_ui,codigo,nombre,id_tipo_recurso_ui,ruta,componente,icono,id_recurso_ui_padre,orden_visual,es_visible,activo,creado_utc,actualizado_utc,version_fila"
"seguridad","recurso_ui_permiso","id_recurso_ui,id_permiso,activo,creado_utc"
"seguridad","rol","id_rol,id_tenant,codigo,nombre,descripcion,es_sistema,activo,creado_utc,actualizado_utc,version_fila"
"seguridad","rol_deber","id_rol,id_deber,activo,creado_utc,actualizado_utc"
"seguridad","sesion_usuario","id_sesion_usuario,id_usuario,id_tenant,id_empresa,token_hash,refresh_hash,origen_autenticacion,mfa_validado,creado_utc,expira_absoluta_utc,ultima_actividad_utc,ip_origen,agente_usuario,huella_dispositivo,activo,revocada_utc,motivo_revocacion,version_fila"
"seguridad","sesion_usuario_historial","id_historial,id_sesion,id_usuario,fecha_inicio,fecha_fin,ip,dispositivo,motivo_cierre"
"seguridad","token_restablecimiento_clave","id_token_restablecimiento_clave,id_usuario,id_flujo_restablecimiento_clave,token_hash,expira_en_utc,usado,fecha_uso_utc,ip_origen,agente_usuario,solicitud_id,creado_utc"
"seguridad","usuario","id_usuario,codigo,login_principal,login_normalizado,nombre,apellido,nombre_mostrar,correo_electronico,correo_normalizado,telefono_movil,idioma,zona_horaria,id_estado_usuario,bloqueado_hasta_utc,mfa_habilitado,requiere_cambio_clave,ultimo_acceso_utc,activo,creado_por,creado_utc,actualizado_por,actualizado_utc,version_fila"
"seguridad","usuario_empresa","id_usuario_empresa,id_usuario,id_tenant,id_empresa,es_empresa_predeterminada,puede_operar,fecha_inicio_utc,fecha_fin_utc,activo,creado_utc,actualizado_utc"
"seguridad","usuario_identificador","id_usuario_identificador,id_usuario,id_tipo_identificador_usuario,valor,valor_normalizado,es_principal,verificado,fecha_verificacion_utc,activo,creado_utc"
"seguridad","usuario_scope_empresa","id_usuario_scope_empresa,id_usuario,id_empresa"
"seguridad","usuario_scope_unidad","id_usuario_scope_unidad,id_usuario,id_unidad_organizativa"
"seguridad","usuario_tenant","id_usuario,id_tenant,es_administrador_tenant,es_cuenta_servicio,activo,creado_utc,actualizado_utc"
"seguridad","usuario_unidad_organizativa","id_usuario_unidad_organizativa,id_usuario,id_empresa,id_unidad_organizativa,rol_operativo,fecha_inicio_utc,fecha_fin_utc,activo,creado_utc,actualizado_utc"
"tercero","coincidencia_tercero","id_coincidencia_tercero,id_tercero_origen,id_tercero_posible,nivel_coincidencia,puntaje,revisado,creado_utc"
"tercero","contacto_tercero","id_contacto_tercero,id_tercero,id_tipo_contacto,valor,principal"
"tercero","cuenta_bancaria_tercero","id_cuenta_bancaria_tercero,id_tercero,id_banco,numero_cuenta,id_moneda,principal"
"tercero","direccion_tercero","id_direccion_tercero,id_tercero,id_tipo_direccion,direccion_linea1,direccion_linea2,id_pais,id_estado,id_ciudad,codigo_postal,principal"
"tercero","identificacion_tercero","id_identificacion_tercero,id_tercero,id_tipo_identificacion,numero_identificacion,fecha_emision,fecha_vencimiento,principal"
"tercero","indice_busqueda_tercero","id_indice_busqueda,id_tercero,nombre_normalizado,email_normalizado,telefono_normalizado,documento_normalizado,hash_busqueda,creado_utc"
"tercero","merge_tercero","id_merge_tercero,id_tercero_principal,id_tercero_duplicado,fusionado_por,fecha_merge"
"tercero","nivel_coincidencia","id_nivel_coincidencia,codigo,nombre"
"tercero","relacion_tercero","id_relacion_tercero,id_tercero_origen,id_tercero_destino,id_tipo_relacion,fecha_inicio,fecha_fin"
"tercero","rol_tercero","id_rol_tercero,codigo,nombre,activo"
"tercero","tercero","id_tercero,codigo,id_tipo_persona,nombre,segundo_nombre,apellido,segundo_apellido,razon_social,nombre_comercial,fecha_nacimiento,fecha_constitucion,activo,creado_por,creado_utc,version_fila"
"tercero","tercero_empresa","id_tercero_empresa,id_tercero,id_empresa,activo,creado_utc"
"tercero","tercero_rol","id_tercero_rol,id_tercero,id_rol_tercero,id_empresa,activo"
"tercero","tipo_persona","id_tipo_persona,codigo,nombre"
